Date,Region,Temperature_Max_F,Temperature_Min_F,Precipitation_Inches,Wind_Speed_Max_MPH,Storm_Flag,Heatwave_Flag,Freeze_Flag
2023-01-06,Huntsville,85.1,77.7,0.03,12.6,0,0,0
2023-01-06,Rural North,78.0,65.8,0.17,4.1,0,0,0
2023-01-06,Rural South,74.0,57.7,0.02,11.6,0,0,0
2023-01-07,Birmingham,52.2,37.5,0.03,9.8,0,0,0
2023-01-07,Montgomery,102.9,91.9,0.13,19.5,0,1,0
2023-01-07,Mobile,84.9,70.8,0.03,8.1,0,0,0
2023-01-07,Huntsville,83.2,75.6,0.05,13.6,0,0,0
2023-01-07,Rural North,70.6,62.4,0.27,6.6,0,0,0
2023-01-07,Rural South,58.5,39.5,0.0,12.5,0,0,0
2023-01-08,Birmingham,86.7,73.7,0.16,19.6,0,0,0
2023-01-08,Montgomery,90.1,75.8,0.12,9.9,0,0,0
2023-01-08,Mobile,85.9,80.2,0.48,17.3,0,0,0
2023-01-08,Huntsville,79.2,73.1,0.19,12.6,0,0,0
2023-01-08,Rural North,88.2,78.3,0.01,21.3,0,0,0
2023-01-08,Rural South,52.5,46.0,0.04,13.1,0,0,0
2023-01-09,Birmingham,89.0,72.4,0.02,12.8,0,0,0
2023-01-09,Montgomery,75.9,56.2,0.06,8.0,0,0,0
2023-01-09,Mobile,82.9,77.4,0.13,12.6,0,0,0
2023-01-09,Huntsville,56.2,48.2,0.15,14.9,0,0,0
2023-01-09,Rural North,89.4,81.7,0.09,13.3,0,0,0
2023-01-09,Rural South,95.7,83.2,0.09,7.6,0,1,0
2023-01-10,Birmingham,82.1,72.3,0.84,10.6,0,0,0
2023-01-10,Montgomery,69.3,58.8,0.16,10.3,0,0,0
2023-01-10,Mobile,88.2,80.2,0.11,14.2,0,0,0
2023-01-10,Huntsville,93.5,81.8,0.03,16.4,0,0,0
2023-01-10,Rural North,65.2,60.1,0.09,6.9,0,0,0
2023-01-10,Rural South,79.3,65.3,0.57,14.6,0,0,0
2023-01-11,Birmingham,113.1,106.7,0.03,3.5,0,1,0
2023-01-11,Montgomery,71.5,65.9,0.02,10.5,0,0,0
2023-01-11,Mobile,75.3,66.5,0.27,9.0,0,0,0
2023-01-11,Huntsville,106.6,90.2,0.08,5.4,0,1,0
2023-01-11,Rural North,98.2,88.2,0.26,8.4,0,1,0
2023-01-11,Rural South,51.4,38.9,0.05,15.0,0,0,0
2023-01-12,Birmingham,108.6,98.4,0.07,5.3,0,1,0
2023-01-12,Montgomery,61.6,54.2,0.47,4.5,0,0,0
2023-01-12,Mobile,56.9,43.2,0.07,14.9,0,0,0
2023-01-12,Huntsville,55.3,43.0,0.48,10.8,0,0,0
2023-01-12,Rural North,61.8,53.3,0.94,9.8,0,0,0
2023-01-12,Rural South,71.9,58.2,0.04,9.1,0,0,0
2023-01-13,Birmingham,75.8,61.6,0.38,13.8,0,0,0
2023-01-13,Montgomery,75.2,60.5,0.03,6.2,0,0,0
2023-01-13,Mobile,87.8,79.9,0.14,9.3,0,0,0
2023-01-13,Huntsville,82.1,68.3,0.36,7.7,0,0,0
2023-01-13,Rural North,75.4,57.6,0.78,12.0,0,0,0
2023-01-13,Rural South,108.2,91.4,0.04,14.4,0,1,0
2023-01-14,Birmingham,123.5,106.0,0.13,14.4,0,1,0
2023-01-14,Montgomery,53.1,34.8,0.38,4.7,0,0,0
2023-01-14,Mobile,51.8,43.9,0.14,2.1,0,0,0
2023-01-14,Huntsville,64.9,57.0,0.19,1.4,0,0,0
2023-01-14,Rural North,93.1,81.7,0.31,9.3,0,0,0
2023-01-14,Rural South,93.0,75.1,0.4,11.0,0,0,0
2023-01-15,Birmingham,89.1,70.2,0.25,14.7,0,0,0
2023-01-15,Montgomery,88.4,70.4,0.22,1.9,0,0,0
2023-01-15,Mobile,78.8,70.3,0.18,3.2,0,0,0
2023-01-15,Huntsville,54.8,47.3,0.25,15.8,0,0,0
2023-01-15,Rural North,86.4,75.4,0.0,9.0,0,0,0
2023-01-15,Rural South,92.1,81.8,0.03,25.3,1,0,0
2023-01-16,Birmingham,62.3,56.6,0.49,15.2,0,0,0
2023-01-16,Montgomery,76.6,69.4,0.06,8.9,0,0,0
2023-01-16,Mobile,72.1,55.7,0.26,8.1,0,0,0
2023-01-16,Huntsville,82.4,74.2,0.31,17.2,0,0,0
2023-01-16,Rural North,93.1,86.9,0.28,14.7,0,0,0
2023-01-16,Rural South,59.8,47.9,0.07,7.6,0,0,0
2023-01-17,Birmingham,80.7,65.2,0.02,15.4,0,0,0
2023-01-17,Montgomery,97.1,87.9,0.17,4.3,0,1,0
2023-01-17,Mobile,65.7,57.4,0.05,5.7,0,0,0
2023-01-17,Huntsville,85.1,75.3,0.1,9.0,0,0,0
2023-01-17,Rural North,90.2,84.8,0.02,14.8,0,0,0
2023-01-17,Rural South,79.9,72.4,0.06,4.0,0,0,0
2023-01-18,Birmingham,72.2,55.4,0.27,16.6,0,0,0
2023-01-18,Montgomery,95.9,81.7,0.01,8.0,0,1,0
2023-01-18,Mobile,71.5,66.3,0.24,7.1,0,0,0
2023-01-18,Huntsville,92.6,80.4,0.08,12.9,0,0,0
2023-01-18,Rural North,97.6,81.0,0.15,13.9,0,1,0
2023-01-18,Rural South,73.9,61.4,0.08,8.8,0,0,0
2023-01-19,Birmingham,108.1,100.3,0.41,9.9,0,1,0
2023-01-19,Montgomery,86.8,70.5,0.01,6.7,0,0,0
2023-01-19,Mobile,106.7,90.2,0.22,15.4,0,1,0
2023-01-19,Huntsville,79.6,62.2,0.18,6.7,0,0,0
2023-01-19,Rural North,75.8,66.1,0.14,8.5,0,0,0
2023-01-19,Rural South,64.4,50.3,0.34,7.1,0,0,0
2023-01-20,Birmingham,64.3,58.6,0.18,11.7,0,0,0
2023-01-20,Montgomery,70.8,53.3,0.01,21.8,0,0,0
2023-01-20,Mobile,53.3,44.6,0.27,7.2,0,0,0
2023-01-20,Huntsville,71.8,53.4,0.29,4.1,0,0,0
2023-01-20,Rural North,63.8,48.9,0.03,17.2,0,0,0
2023-01-20,Rural South,60.8,53.3,0.27,12.8,0,0,0
2023-01-21,Birmingham,85.7,79.6,0.03,11.7,0,0,0
2023-01-21,Montgomery,76.6,60.7,0.08,14.1,0,0,0
2023-01-21,Mobile,88.2,78.1,0.52,3.6,0,0,0
2023-01-21,Huntsville,71.2,60.1,0.16,13.8,0,0,0
2023-01-21,Rural North,79.2,64.3,0.01,9.3,0,0,0
2023-01-21,Rural South,95.6,87.1,0.05,3.5,0,1,0
2023-01-22,Birmingham,88.6,72.1,0.26,7.2,0,0,0
2023-01-22,Montgomery,76.8,61.7,0.13,10.9,0,0,0
2023-01-22,Mobile,65.7,53.0,0.11,2.5,0,0,0
2023-01-22,Huntsville,83.6,77.9,0.05,4.3,0,0,0
2023-01-22,Rural North,68.6,49.5,0.36,14.9,0,0,0
2023-01-22,Rural South,92.3,84.8,0.04,8.8,0,0,0
2023-01-23,Birmingham,85.3,69.1,0.31,11.9,0,0,0
2023-01-23,Montgomery,68.3,49.9,0.03,10.6,0,0,0
2023-01-23,Mobile,87.1,81.4,0.14,7.3,0,0,0
2023-01-23,Huntsville,67.2,56.3,0.04,3.8,0,0,0
2023-01-23,Rural North,70.7,59.5,0.02,14.4,0,0,0
2023-01-23,Rural South,83.0,71.7,0.13,5.8,0,0,0
2023-01-24,Birmingham,96.1,87.5,0.01,11.5,0,1,0
2023-01-24,Montgomery,122.1,116.4,0.03,9.3,0,1,0
2023-01-24,Mobile,89.7,70.4,0.05,14.8,0,0,0
2023-01-24,Huntsville,82.7,70.5,0.21,2.5,0,0,0
2023-01-24,Rural North,74.7,60.8,0.23,10.7,0,0,0
2023-01-24,Rural South,93.5,81.6,0.3,8.9,0,0,0
2023-01-25,Birmingham,59.4,52.8,0.14,9.7,0,0,0
2023-01-25,Montgomery,71.1,65.3,0.52,6.5,0,0,0
2023-01-25,Mobile,98.9,81.9,0.28,7.8,0,1,0
2023-01-25,Huntsville,93.7,82.9,0.14,13.3,0,0,0
2023-01-25,Rural North,53.1,45.2,0.05,5.7,0,0,0
2023-01-25,Rural South,82.4,75.8,0.35,10.7,0,0,0
2023-01-26,Birmingham,57.7,50.0,0.38,14.2,0,0,0
2023-01-26,Montgomery,80.2,60.9,0.17,15.9,0,0,0
2023-01-26,Mobile,59.8,52.4,0.05,9.4,0,0,0
2023-01-26,Huntsville,77.3,58.7,0.28,11.4,0,0,0
2023-01-26,Rural North,43.9,35.8,0.21,11.7,0,0,0
2023-01-26,Rural South,89.2,82.6,0.31,15.2,0,0,0
2023-01-27,Birmingham,79.9,63.2,0.03,5.1,0,0,0
2023-01-27,Montgomery,101.3,89.9,0.09,14.1,0,1,0
2023-01-27,Mobile,71.6,58.2,0.14,12.3,0,0,0
2023-01-27,Huntsville,89.8,75.1,0.54,12.3,0,0,0
2023-01-27,Rural North,97.6,89.8,0.0,8.9,0,1,0
2023-01-27,Rural South,63.2,43.6,0.01,12.3,0,0,0
2023-01-28,Birmingham,95.9,82.1,0.13,10.9,0,1,0
2023-01-28,Montgomery,61.7,50.2,0.55,10.0,0,0,0
2023-01-28,Mobile,81.4,66.7,0.52,8.6,0,0,0
2023-01-28,Huntsville,85.2,67.6,0.02,6.7,0,0,0
2023-01-28,Rural North,87.3,82.2,0.02,1.7,0,0,0
2023-01-28,Rural South,89.1,77.0,0.71,23.1,0,0,0
2023-01-29,Birmingham,89.3,75.3,0.2,10.4,0,0,0
2023-01-29,Montgomery,77.1,59.5,0.38,5.3,0,0,0
2023-01-29,Mobile,86.2,74.3,0.24,15.5,0,0,0
2023-01-29,Huntsville,59.4,42.7,0.08,4.9,0,0,0
2023-01-29,Rural North,52.8,41.1,0.04,10.7,0,0,0
2023-01-29,Rural South,72.8,65.0,0.24,1.2,0,0,0
2023-01-30,Birmingham,84.0,66.6,0.01,19.4,0,0,0
2023-01-30,Montgomery,65.6,56.3,0.1,12.9,0,0,0
2023-01-30,Mobile,104.2,96.0,0.17,10.9,0,1,0
2023-01-30,Huntsville,69.5,50.7,0.13,7.6,0,0,0
2023-01-30,Rural North,87.2,77.5,0.03,7.7,0,0,0
2023-01-30,Rural South,77.3,59.6,0.11,7.6,0,0,0
2023-01-31,Birmingham,71.9,65.0,0.23,5.6,0,0,0
2023-01-31,Montgomery,76.6,71.1,0.21,3.6,0,0,0
2023-01-31,Mobile,66.5,51.0,0.13,7.2,0,0,0
2023-01-31,Huntsville,72.8,65.4,0.18,19.3,0,0,0
2023-01-31,Rural North,83.2,72.1,0.37,11.4,0,0,0
2023-01-31,Rural South,96.1,89.0,0.0,14.8,0,1,0
2023-02-01,Birmingham,62.9,49.0,0.08,4.5,0,0,0
2023-02-01,Montgomery,60.5,46.8,0.16,15.8,0,0,0
2023-02-01,Mobile,89.4,81.2,0.14,13.8,0,0,0
2023-02-01,Huntsville,62.6,45.3,0.01,7.3,0,0,0
2023-02-01,Rural North,88.7,73.1,0.11,7.7,0,0,0
2023-02-01,Rural South,69.1,53.3,0.25,4.1,0,0,0
2023-02-02,Birmingham,95.4,79.2,0.1,7.0,0,1,0
2023-02-02,Montgomery,75.0,64.1,0.26,11.0,0,0,0
2023-02-02,Mobile,70.2,62.8,0.18,8.6,0,0,0
2023-02-02,Huntsville,62.1,46.2,0.39,7.7,0,0,0
2023-02-02,Rural North,74.8,62.0,0.03,12.7,0,0,0
2023-02-02,Rural South,79.8,70.9,0.99,16.6,0,0,0
2023-02-03,Birmingham,85.7,71.8,0.04,0.0,0,0,0
2023-02-03,Montgomery,50.9,43.6,0.01,9.7,0,0,0
2023-02-03,Mobile,72.0,55.0,0.07,9.8,0,0,0
2023-02-03,Huntsville,74.2,66.3,0.19,12.3,0,0,0
2023-02-03,Rural North,84.3,76.8,0.19,7.1,0,0,0
2023-02-03,Rural South,75.3,68.4,0.2,11.9,0,0,0
2023-02-04,Birmingham,84.3,73.5,0.1,12.0,0,0,0
2023-02-04,Montgomery,89.0,82.9,0.28,4.1,0,0,0
2023-02-04,Mobile,72.2,62.7,0.06,17.8,0,0,0
2023-02-04,Huntsville,89.8,70.6,0.68,11.6,0,0,0
2023-02-04,Rural North,82.0,74.1,0.08,11.4,0,0,0
2023-02-04,Rural South,103.5,91.8,0.09,4.3,0,1,0
2023-02-05,Birmingham,92.1,75.9,0.06,0.1,0,0,0
2023-02-05,Montgomery,61.1,41.1,0.15,10.9,0,0,0
2023-02-05,Mobile,89.3,80.1,0.22,3.7,0,0,0
2023-02-05,Huntsville,72.8,64.0,0.17,8.2,0,0,0
2023-02-05,Rural North,104.3,95.5,0.21,8.6,0,1,0
2023-02-05,Rural South,72.0,53.3,0.32,1.3,0,0,0
2023-02-06,Birmingham,92.5,85.7,1.21,4.9,1,0,0
2023-02-06,Montgomery,62.6,50.1,0.12,12.7,0,0,0
2023-02-06,Mobile,106.7,90.7,0.06,5.0,0,1,0
2023-02-06,Huntsville,62.1,56.9,0.03,17.1,0,0,0
2023-02-06,Rural North,96.4,90.5,0.03,12.6,0,1,0
2023-02-06,Rural South,65.5,50.7,0.01,9.5,0,0,0
2023-02-07,Birmingham,84.7,67.2,0.06,7.3,0,0,0
2023-02-07,Montgomery,114.8,109.5,0.25,3.9,0,1,0
2023-02-07,Mobile,91.3,75.6,0.5,12.6,0,0,0
2023-02-07,Huntsville,71.8,53.3,0.07,10.7,0,0,0
2023-02-07,Rural North,86.9,68.6,0.33,2.1,0,0,0
2023-02-07,Rural South,95.8,78.0,0.08,10.0,0,1,0
2023-02-08,Birmingham,68.8,52.3,0.2,2.4,0,0,0
2023-02-08,Montgomery,74.7,56.5,0.54,6.3,0,0,0
2023-02-08,Mobile,98.1,80.7,0.03,12.6,0,1,0
2023-02-08,Huntsville,65.2,53.6,0.09,11.6,0,0,0
2023-02-08,Rural North,77.6,59.8,0.09,10.8,0,0,0
2023-02-08,Rural South,82.7,62.7,0.44,7.6,0,0,0
2023-02-09,Birmingham,76.9,68.8,0.4,13.2,0,0,0
2023-02-09,Montgomery,101.9,91.1,0.19,5.3,0,1,0
2023-02-09,Mobile,61.4,51.0,0.31,4.4,0,0,0
2023-02-09,Huntsville,75.6,66.0,0.02,3.0,0,0,0
2023-02-09,Rural North,88.8,80.1,0.09,11.7,0,0,0
2023-02-09,Rural South,76.2,68.9,0.18,19.0,0,0,0
2023-02-10,Birmingham,56.8,39.3,0.11,5.0,0,0,0
2023-02-10,Montgomery,40.2,24.6,0.05,11.4,0,0,1
2023-02-10,Mobile,83.5,67.0,0.15,20.6,0,0,0
2023-02-10,Huntsville,67.2,54.5,0.07,8.5,0,0,0
2023-02-10,Rural North,76.1,59.2,0.13,12.0,0,0,0
2023-02-10,Rural South,76.3,62.5,0.17,12.7,0,0,0
2023-02-11,Birmingham,86.0,69.9,0.16,10.7,0,0,0
2023-02-11,Montgomery,81.5,72.7,0.05,10.8,0,0,0
2023-02-11,Mobile,88.6,80.8,0.39,5.5,0,0,0
2023-02-11,Huntsville,70.4,57.6,0.19,5.8,0,0,0
2023-02-11,Rural North,59.4,53.3,0.18,22.5,0,0,0
2023-02-11,Rural South,77.0,67.7,0.03,18.0,0,0,0
2023-02-12,Birmingham,88.4,77.9,0.27,8.8,0,0,0
2023-02-12,Montgomery,69.7,51.6,0.05,8.2,0,0,0
2023-02-12,Mobile,77.0,59.2,0.02,6.4,0,0,0
2023-02-12,Huntsville,87.5,77.3,0.17,6.1,0,0,0
2023-02-12,Rural North,83.7,65.8,0.3,9.7,0,0,0
2023-02-12,Rural South,80.5,69.4,0.0,20.4,0,0,0
2023-02-13,Birmingham,89.7,83.2,0.24,19.2,0,0,0
2023-02-13,Montgomery,48.9,40.5,0.2,11.9,0,0,0
2023-02-13,Mobile,80.6,64.6,0.31,3.0,0,0,0
2023-02-13,Huntsville,52.5,39.5,0.08,2.7,0,0,0
2023-02-13,Rural North,85.7,75.2,0.04,14.4,0,0,0
2023-02-13,Rural South,68.4,59.1,0.08,5.4,0,0,0
2023-02-14,Birmingham,85.8,79.6,0.72,17.3,0,0,0
2023-02-14,Montgomery,93.2,74.1,0.0,8.0,0,0,0
2023-02-14,Mobile,78.4,71.9,0.17,12.0,0,0,0
2023-02-14,Huntsville,86.7,67.2,0.01,12.6,0,0,0
2023-02-14,Rural North,65.9,47.2,0.01,10.6,0,0,0
2023-02-14,Rural South,76.7,61.7,0.12,12.4,0,0,0
2023-02-15,Birmingham,59.1,43.3,0.04,19.1,0,0,0
2023-02-15,Montgomery,63.7,54.1,0.04,6.2,0,0,0
2023-02-15,Mobile,65.7,54.7,0.4,20.8,0,0,0
2023-02-15,Huntsville,94.9,79.8,0.19,21.3,0,0,0
2023-02-15,Rural North,98.8,89.6,0.25,17.3,0,1,0
2023-02-15,Rural South,103.0,93.0,0.15,10.3,0,1,0
2023-02-16,Birmingham,68.5,52.8,0.28,16.2,0,0,0
2023-02-16,Montgomery,58.4,39.4,0.13,11.2,0,0,0
2023-02-16,Mobile,78.0,66.8,0.13,6.2,0,0,0
2023-02-16,Huntsville,75.8,64.8,0.05,9.2,0,0,0
2023-02-16,Rural North,119.7,107.0,0.43,5.9,0,1,0
2023-02-16,Rural South,83.2,70.3,0.1,14.5,0,0,0
2023-02-17,Birmingham,64.7,55.7,0.16,13.4,0,0,0
2023-02-17,Montgomery,103.1,83.7,0.01,13.7,0,1,0
2023-02-17,Mobile,82.0,71.1,0.02,21.3,0,0,0
2023-02-17,Huntsville,96.0,88.5,0.24,14.5,0,1,0
2023-02-17,Rural North,85.4,65.6,0.03,24.7,0,0,0
2023-02-17,Rural South,97.6,92.5,0.26,13.6,0,1,0
2023-02-18,Birmingham,130.8,121.1,0.47,15.7,0,1,0
2023-02-18,Montgomery,73.0,67.4,0.12,4.0,0,0,0
2023-02-18,Mobile,77.7,60.9,0.01,11.3,0,0,0
2023-02-18,Huntsville,71.7,65.8,0.08,14.7,0,0,0
2023-02-18,Rural North,91.2,81.3,0.09,10.5,0,0,0
2023-02-18,Rural South,74.0,66.3,0.01,18.0,0,0,0
2023-02-19,Birmingham,87.6,68.8,0.06,13.1,0,0,0
2023-02-19,Montgomery,92.3,81.8,0.06,9.2,0,0,0
2023-02-19,Mobile,68.0,59.9,0.42,22.5,0,0,0
2023-02-19,Huntsville,59.8,45.3,0.61,14.1,0,0,0
2023-02-19,Rural North,86.9,66.9,0.14,4.3,0,0,0
2023-02-19,Rural South,91.6,79.2,0.11,14.9,0,0,0
2023-02-20,Birmingham,93.4,81.3,0.03,18.4,0,0,0
2023-02-20,Montgomery,89.9,80.0,0.07,13.1,0,0,0
2023-02-20,Mobile,48.0,31.4,0.63,7.7,0,0,1
2023-02-20,Huntsville,67.5,58.7,0.46,0.7,0,0,0
2023-02-20,Rural North,88.7,78.5,0.43,11.8,0,0,0
2023-02-20,Rural South,79.9,64.2,0.3,9.1,0,0,0
2023-02-21,Birmingham,87.3,75.4,0.22,3.3,0,0,0
2023-02-21,Montgomery,75.5,70.0,0.19,18.4,0,0,0
2023-02-21,Mobile,90.9,79.7,0.07,4.9,0,0,0
2023-02-21,Huntsville,106.4,90.8,0.01,5.6,0,1,0
2023-02-21,Rural North,88.6,73.2,0.1,11.8,0,0,0
2023-02-21,Rural South,78.3,63.9,0.04,15.9,0,0,0
2023-02-22,Birmingham,89.0,80.0,0.19,6.1,0,0,0
2023-02-22,Montgomery,64.6,50.5,0.06,13.5,0,0,0
2023-02-22,Mobile,63.9,51.9,0.07,13.8,0,0,0
2023-02-22,Huntsville,87.9,78.0,0.11,19.4,0,0,0
2023-02-22,Rural North,62.8,51.1,0.22,13.1,0,0,0
2023-02-22,Rural South,94.4,85.1,0.5,10.4,0,0,0
2023-02-23,Birmingham,63.8,56.6,0.07,16.5,0,0,0
2023-02-23,Montgomery,82.9,70.3,0.22,9.4,0,0,0
2023-02-23,Mobile,80.1,60.9,0.15,15.1,0,0,0
2023-02-23,Huntsville,85.3,75.8,0.27,14.9,0,0,0
2023-02-23,Rural North,63.6,47.0,0.17,4.2,0,0,0
2023-02-23,Rural South,53.5,44.5,0.22,19.3,0,0,0
2023-02-24,Birmingham,74.6,59.8,0.28,5.4,0,0,0
2023-02-24,Montgomery,75.0,64.4,0.46,9.9,0,0,0
2023-02-24,Mobile,67.7,60.6,0.19,9.4,0,0,0
2023-02-24,Huntsville,75.5,57.9,0.14,9.7,0,0,0
2023-02-24,Rural North,88.4,80.9,0.43,12.4,0,0,0
2023-02-24,Rural South,63.4,52.7,0.74,7.5,0,0,0
2023-02-25,Birmingham,92.9,80.1,0.08,13.3,0,0,0
2023-02-25,Montgomery,87.2,82.2,0.23,0.3,0,0,0
2023-02-25,Mobile,85.2,77.2,0.04,23.8,0,0,0
2023-02-25,Huntsville,83.4,74.3,0.28,15.2,0,0,0
2023-02-25,Rural North,84.9,67.7,0.07,8.1,0,0,0
2023-02-25,Rural South,116.3,108.3,0.08,8.9,0,1,0
2023-02-26,Birmingham,96.9,85.3,0.05,20.9,0,1,0
2023-02-26,Montgomery,47.0,38.9,0.07,13.2,0,0,0
2023-02-26,Mobile,70.7,51.2,0.55,3.3,0,0,0
2023-02-26,Huntsville,98.2,87.3,0.3,14.0,0,1,0
2023-02-26,Rural North,85.7,77.8,0.34,12.2,0,0,0
2023-02-26,Rural South,88.9,71.2,0.37,14.3,0,0,0
2023-02-27,Birmingham,107.0,96.8,0.02,13.9,0,1,0
2023-02-27,Montgomery,104.8,87.8,0.04,23.3,0,1,0
2023-02-27,Mobile,85.9,70.0,0.04,12.4,0,0,0
2023-02-27,Huntsville,68.0,63.0,0.04,1.2,0,0,0
2023-02-27,Rural North,92.6,73.4,0.04,19.2,0,0,0
2023-02-27,Rural South,74.0,60.3,0.02,10.1,0,0,0
2023-02-28,Birmingham,78.1,68.1,0.12,5.7,0,0,0
2023-02-28,Montgomery,54.4,44.5,0.02,0.1,0,0,0
2023-02-28,Mobile,85.2,70.7,0.07,14.9,0,0,0
2023-02-28,Huntsville,75.2,60.4,0.5,13.2,0,0,0
2023-02-28,Rural North,86.0,79.9,0.04,13.5,0,0,0
2023-02-28,Rural South,117.8,101.1,0.11,24.1,0,1,0
2023-03-01,Birmingham,80.9,64.4,0.08,13.1,0,0,0
2023-03-01,Montgomery,89.0,77.5,0.13,16.2,0,0,0
2023-03-01,Mobile,110.4,94.8,0.13,6.7,0,1,0
2023-03-01,Huntsville,64.8,57.2,1.47,12.9,1,0,0
2023-03-01,Rural North,111.4,98.8,0.22,11.6,0,1,0
2023-03-01,Rural South,95.9,86.8,1.06,9.4,1,1,0
2023-03-02,Birmingham,68.6,56.7,0.1,11.1,0,0,0
2023-03-02,Montgomery,77.3,65.4,0.26,11.9,0,0,0
2023-03-02,Mobile,69.0,59.7,0.11,11.4,0,0,0
2023-03-02,Huntsville,69.8,61.2,0.3,4.5,0,0,0
2023-03-02,Rural North,91.4,82.6,0.01,6.6,0,0,0
2023-03-02,Rural South,84.9,76.7,0.07,12.8,0,0,0
2023-03-03,Birmingham,91.4,86.2,0.66,5.7,0,0,0
2023-03-03,Montgomery,58.4,41.6,0.08,5.7,0,0,0
2023-03-03,Mobile,51.1,36.7,0.02,17.3,0,0,0
2023-03-03,Huntsville,92.2,72.5,0.02,8.8,0,0,0
2023-03-03,Rural North,65.3,55.0,0.0,18.8,0,0,0
2023-03-03,Rural South,75.8,63.9,0.22,8.0,0,0,0
2023-03-04,Birmingham,48.6,34.2,0.11,18.0,0,0,0
2023-03-04,Montgomery,82.9,65.3,0.02,9.7,0,0,0
2023-03-04,Mobile,60.3,45.2,0.04,12.8,0,0,0
2023-03-04,Huntsville,81.7,72.6,0.09,16.6,0,0,0
2023-03-04,Rural North,70.8,52.2,0.03,11.7,0,0,0
2023-03-04,Rural South,101.8,85.1,0.02,7.6,0,1,0
2023-03-05,Birmingham,66.9,48.1,0.12,3.5,0,0,0
2023-03-05,Montgomery,75.4,63.1,0.05,14.4,0,0,0
2023-03-05,Mobile,47.3,31.5,0.05,11.7,0,0,1
2023-03-05,Huntsville,33.2,22.1,0.06,15.2,0,0,1
2023-03-05,Rural North,65.8,47.3,0.19,13.6,0,0,0
2023-03-05,Rural South,85.9,78.2,0.56,7.6,0,0,0
2023-03-06,Birmingham,65.3,57.7,0.28,12.9,0,0,0
2023-03-06,Montgomery,65.5,52.9,0.35,11.6,0,0,0
2023-03-06,Mobile,76.5,62.0,0.08,8.6,0,0,0
2023-03-06,Huntsville,76.6,62.8,0.07,5.7,0,0,0
2023-03-06,Rural North,92.3,81.3,0.57,10.8,0,0,0
2023-03-06,Rural South,62.0,53.2,0.27,16.4,0,0,0
2023-03-07,Birmingham,93.8,88.2,0.18,15.6,0,0,0
2023-03-07,Montgomery,86.4,69.7,0.09,10.4,0,0,0
2023-03-07,Mobile,92.3,75.1,0.11,11.4,0,0,0
2023-03-07,Huntsville,70.4,54.2,0.1,12.6,0,0,0
2023-03-07,Rural North,73.0,66.5,0.1,8.4,0,0,0
2023-03-07,Rural South,108.0,90.0,0.03,13.3,0,1,0
2023-03-08,Birmingham,81.7,73.8,0.21,7.3,0,0,0
2023-03-08,Montgomery,60.4,44.0,0.27,6.1,0,0,0
2023-03-08,Mobile,81.6,62.4,0.13,9.0,0,0,0
2023-03-08,Huntsville,49.0,32.5,0.29,12.1,0,0,0
2023-03-08,Rural North,84.8,65.1,0.7,12.8,0,0,0
