Ticket_ID,Region,Outage_ID,Opened_Time,Resolution_Time_Minutes,Closed_Time,Customer_Satisfaction_Score,Channel
50,Birmingham,4936,2024-06-03 16:32:00,129,2024-06-03 18:41:00,2,In-person
51,Montgomery,1133,2024-02-29 06:14:00,87,2024-02-29 07:41:00,4,Website
52,Montgomery,1312,2024-05-23 01:21:00,124,2024-05-23 03:25:00,5,Mobile App
53,Huntsville,2950,2024-07-28 18:31:00,10,2024-07-28 18:41:00,4,Mobile App
54,Rural South,3629,2024-06-18 23:06:00,8,2024-06-18 23:14:00,4,Website
55,Birmingham,1682,2023-01-12 13:18:00,336,2023-01-12 18:54:00,3,Website
56,Huntsville,1564,2024-11-27 02:10:00,108,2024-11-27 03:58:00,1,Mobile App
57,Rural South,4130,2023-06-29 00:03:00,175,2023-06-29 02:58:00,4,In-person
58,Huntsville,2897,2024-01-10 06:24:00,293,2024-01-10 11:17:00,3,Mobile App
59,Montgomery,402,2024-07-27 11:56:00,197,2024-07-27 15:13:00,1,In-person
60,Mobile,3305,2023-11-25 10:59:00,31,2023-11-25 11:30:00,4,Mobile App
61,Rural South,2992,2023-02-05 20:44:00,3,2023-02-05 20:47:00,5,Mobile App
62,Huntsville,2200,2023-01-23 16:17:00,49,2023-01-23 17:06:00,4,In-person
63,Rural North,686,2024-04-22 00:49:00,20,2024-04-22 01:09:00,1,Call
64,Rural South,1371,2023-12-26 10:42:00,36,2023-12-26 11:18:00,1,Call
65,Birmingham,2032,2024-11-03 03:42:00,313,2024-11-03 08:55:00,2,In-person
66,Montgomery,2305,2023-02-26 02:15:00,6,2023-02-26 02:21:00,1,Call
67,Huntsville,4792,2023-06-28 12:31:00,104,2023-06-28 14:15:00,4,In-person
68,Montgomery,266,2023-12-05 23:39:00,285,2023-12-06 04:24:00,1,Call
69,Rural South,4268,2023-12-07 13:08:00,158,2023-12-07 15:46:00,1,Call
70,Rural North,3067,2023-07-06 20:12:00,32,2023-07-06 20:44:00,5,In-person
71,Birmingham,692,2024-11-14 09:30:00,37,2024-11-14 10:07:00,2,Mobile App
72,Rural North,3494,2023-09-10 00:32:00,27,2023-09-10 00:59:00,1,Call
73,Huntsville,2946,2024-01-23 10:35:00,41,2024-01-23 11:16:00,4,Mobile App
74,Huntsville,2238,2024-02-13 15:27:00,68,2024-02-13 16:35:00,3,Mobile App
75,Montgomery,2315,2023-07-21 07:27:00,358,2023-07-21 13:25:00,3,Call
76,Mobile,2623,2024-02-01 17:35:00,71,2024-02-01 18:46:00,5,Call
77,Montgomery,2690,2023-11-23 02:43:00,7,2023-11-23 02:50:00,3,Website
78,Mobile,2890,2023-01-29 06:54:00,10,2023-01-29 07:04:00,5,Website
79,Birmingham,4221,2024-04-16 01:59:00,332,2024-04-16 07:31:00,5,Mobile App
80,Rural South,523,2023-09-28 05:55:00,54,2023-09-28 06:49:00,3,Mobile App
81,Huntsville,2003,2023-01-12 17:49:00,121,2023-01-12 19:50:00,1,Call
82,Rural South,2151,2023-12-18 04:45:00,18,2023-12-18 05:03:00,4,Website
83,Montgomery,4182,2023-12-13 17:36:00,48,2023-12-13 18:24:00,1,Mobile App
84,Mobile,2997,2023-12-28 23:27:00,86,2023-12-29 00:53:00,1,Mobile App
85,Birmingham,4323,2024-07-07 17:30:00,43,2024-07-07 18:13:00,5,In-person
86,Birmingham,559,2024-04-24 09:04:00,11,2024-04-24 09:15:00,4,In-person
87,Mobile,478,2024-11-03 00:04:00,35,2024-11-03 00:39:00,4,Website
88,Birmingham,2951,2023-04-09 15:50:00,52,2023-04-09 16:42:00,5,Mobile App
89,Rural North,431,2024-08-30 18:15:00,187,2024-08-30 21:22:00,5,Website
90,Birmingham,4266,2024-02-20 12:46:00,0,2024-02-20 12:46:00,2,Website
91,Rural South,3922,2024-07-27 21:23:00,402,2024-07-28 04:05:00,4,Call
92,Mobile,4624,2023-05-03 05:53:00,17,2023-05-03 06:10:00,3,Mobile App
93,Huntsville,3459,2024-10-08 09:53:00,99,2024-10-08 11:32:00,5,Call
94,Mobile,4568,2023-08-12 08:44:00,322,2023-08-12 14:06:00,3,Call
95,Rural South,215,2023-01-01 00:12:00,74,2023-01-01 01:26:00,4,Call
96,Montgomery,249,2024-11-14 22:44:00,353,2024-11-15 04:37:00,1,Website
97,Rural North,1110,2024-05-26 14:24:00,54,2024-05-26 15:18:00,4,In-person
98,Huntsville,4203,2023-06-14 03:55:00,46,2023-06-14 04:41:00,1,Mobile App
99,Rural North,456,2023-04-08 14:13:00,49,2023-04-08 15:02:00,3,In-person
100,Mobile,4731,2024-03-12 23:28:00,153,2024-03-13 02:01:00,3,In-person
101,Rural South,802,2024-08-16 12:32:00,230,2024-08-16 16:22:00,3,Website
102,Birmingham,1053,2024-02-11 05:01:00,127,2024-02-11 07:08:00,5,Mobile App
103,Mobile,2244,2024-07-15 10:40:00,223,2024-07-15 14:23:00,3,Website
104,Rural South,1600,2023-03-07 20:11:00,48,2023-03-07 20:59:00,1,In-person
105,Montgomery,3730,2024-05-13 06:40:00,109,2024-05-13 08:29:00,2,In-person
106,Rural South,2177,2023-08-02 01:09:00,7,2023-08-02 01:16:00,5,Call
107,Rural North,1535,2023-10-09 12:37:00,0,2023-10-09 12:37:00,3,Mobile App
108,Rural South,3812,2023-01-20 06:47:00,11,2023-01-20 06:58:00,2,In-person
109,Montgomery,469,2023-02-22 22:51:00,278,2023-02-23 03:29:00,3,In-person
110,Montgomery,2009,2023-07-26 16:17:00,32,2023-07-26 16:49:00,3,In-person
111,Rural North,899,2024-04-27 16:52:00,34,2024-04-27 17:26:00,2,In-person
112,Rural North,4047,2023-07-11 23:06:00,127,2023-07-12 01:13:00,5,In-person
113,Rural South,4711,2023-03-02 12:52:00,9,2023-03-02 13:01:00,1,Website
114,Huntsville,3347,2024-06-02 04:48:00,81,2024-06-02 06:09:00,1,In-person
115,Huntsville,1553,2024-12-03 08:35:00,51,2024-12-03 09:26:00,4,Call
116,Rural North,2355,2023-08-08 18:24:00,136,2023-08-08 20:40:00,4,Call
117,Huntsville,1710,2023-06-05 13:01:00,50,2023-06-05 13:51:00,1,Mobile App
118,Mobile,3120,2023-01-23 12:35:00,100,2023-01-23 14:15:00,3,In-person
119,Montgomery,2142,2023-07-01 19:21:00,416,2023-07-02 02:17:00,2,Call
120,Montgomery,3179,2023-10-02 06:44:00,633,2023-10-02 17:17:00,3,Call
121,Birmingham,231,2023-06-18 05:40:00,33,2023-06-18 06:13:00,2,Mobile App
122,Rural North,4037,2023-01-07 00:15:00,33,2023-01-07 00:48:00,2,Call
123,Rural North,3058,2023-01-23 19:53:00,84,2023-01-23 21:17:00,1,In-person
124,Birmingham,2241,2024-02-27 07:09:00,8,2024-02-27 07:17:00,4,Website
125,Rural South,968,2024-01-23 21:47:00,409,2024-01-24 04:36:00,2,In-person
126,Montgomery,3700,2024-11-15 19:32:00,33,2024-11-15 20:05:00,4,Website
127,Rural South,2534,2023-10-30 04:27:00,150,2023-10-30 06:57:00,1,In-person
128,Rural South,436,2023-07-18 15:50:00,142,2023-07-18 18:12:00,5,In-person
129,Montgomery,2934,2024-08-08 12:16:00,8,2024-08-08 12:24:00,2,Call
130,Birmingham,4440,2024-01-07 22:09:00,55,2024-01-07 23:04:00,5,Website
131,Mobile,254,2023-07-12 21:36:00,81,2023-07-12 22:57:00,1,Website
132,Rural South,3666,2023-07-24 12:19:00,170,2023-07-24 15:09:00,2,Mobile App
133,Birmingham,3004,2023-07-02 22:00:00,203,2023-07-03 01:23:00,5,In-person
134,Mobile,945,2024-08-02 08:59:00,198,2024-08-02 12:17:00,1,Call
135,Birmingham,469,2024-09-09 10:11:00,156,2024-09-09 12:47:00,2,Call
136,Birmingham,4187,2024-03-16 04:34:00,54,2024-03-16 05:28:00,2,Mobile App
137,Rural North,2458,2023-12-20 12:24:00,214,2023-12-20 15:58:00,3,Call
138,Huntsville,243,2023-11-01 15:25:00,157,2023-11-01 18:02:00,3,In-person
139,Montgomery,3987,2024-01-01 04:11:00,44,2024-01-01 04:55:00,3,In-person
140,Rural South,3796,2024-03-30 15:04:00,65,2024-03-30 16:09:00,1,In-person
141,Rural North,2603,2023-05-23 09:58:00,29,2023-05-23 10:27:00,1,Call
142,Rural North,990,2024-05-09 19:11:00,3,2024-05-09 19:14:00,4,Mobile App
143,Montgomery,52,2023-06-07 01:17:00,13,2023-06-07 01:30:00,3,Mobile App
144,Rural South,160,2023-08-09 12:05:00,15,2023-08-09 12:20:00,5,In-person
145,Montgomery,2467,2024-05-22 13:38:00,54,2024-05-22 14:32:00,3,Mobile App
146,Huntsville,1322,2024-02-19 13:14:00,19,2024-02-19 13:33:00,2,Mobile App
147,Birmingham,4070,2023-09-20 09:03:00,153,2023-09-20 11:36:00,2,Mobile App
148,Montgomery,1055,2024-03-23 18:18:00,152,2024-03-23 20:50:00,1,Website
149,Birmingham,3926,2023-11-21 16:10:00,34,2023-11-21 16:44:00,4,Mobile App
150,Rural North,357,2024-03-19 00:13:00,41,2024-03-19 00:54:00,1,Website
151,Birmingham,204,2023-04-19 01:05:00,47,2023-04-19 01:52:00,1,In-person
152,Mobile,4886,2023-02-10 14:43:00,51,2023-02-10 15:34:00,5,Website
153,Huntsville,4370,2023-03-03 17:33:00,42,2023-03-03 18:15:00,4,Mobile App
154,Mobile,4068,2023-07-26 12:48:00,3,2023-07-26 12:51:00,4,Website
155,Birmingham,4338,2024-10-06 22:59:00,38,2024-10-06 23:37:00,1,In-person
156,Rural South,4636,2023-03-27 11:52:00,8,2023-03-27 12:00:00,5,Mobile App
157,Huntsville,4966,2023-04-08 09:04:00,155,2023-04-08 11:39:00,3,Call
158,Montgomery,1266,2023-02-20 11:45:00,122,2023-02-20 13:47:00,2,Mobile App
159,Huntsville,2067,2024-12-13 18:49:00,72,2024-12-13 20:01:00,3,Mobile App
160,Huntsville,2634,2024-04-07 02:12:00,38,2024-04-07 02:50:00,3,Call
161,Rural South,941,2023-04-19 13:31:00,161,2023-04-19 16:12:00,1,Mobile App
162,Birmingham,1807,2023-07-17 13:43:00,33,2023-07-17 14:16:00,1,In-person
163,Mobile,1373,2024-03-30 18:05:00,9,2024-03-30 18:14:00,3,Call
164,Huntsville,1162,2024-12-10 19:59:00,12,2024-12-10 20:11:00,4,Website
165,Rural South,2655,2023-09-26 11:58:00,28,2023-09-26 12:26:00,2,Website
166,Rural North,653,2024-03-18 23:15:00,3,2024-03-18 23:18:00,4,In-person
167,Huntsville,1567,2024-07-02 05:07:00,197,2024-07-02 08:24:00,1,Call
168,Rural North,1026,2024-04-28 08:37:00,77,2024-04-28 09:54:00,2,Mobile App
169,Huntsville,3037,2024-12-03 17:41:00,10,2024-12-03 17:51:00,5,In-person
170,Montgomery,115,2024-05-25 01:19:00,148,2024-05-25 03:47:00,4,Mobile App
171,Rural North,970,2023-07-21 16:02:00,443,2023-07-21 23:25:00,5,Mobile App
172,Birmingham,3777,2024-01-23 04:19:00,42,2024-01-23 05:01:00,3,Call
173,Rural South,4042,2024-04-30 09:18:00,277,2024-04-30 13:55:00,5,Call
174,Rural South,1107,2023-04-02 15:39:00,198,2023-04-02 18:57:00,1,Call
175,Montgomery,3214,2023-10-26 07:04:00,75,2023-10-26 08:19:00,5,Call
176,Huntsville,4864,2024-12-27 12:12:00,6,2024-12-27 12:18:00,3,Call
177,Rural North,2000,2024-09-20 07:05:00,17,2024-09-20 07:22:00,5,In-person
178,Montgomery,3128,2023-02-10 09:06:00,190,2023-02-10 12:16:00,5,In-person
179,Birmingham,4986,2023-06-18 16:32:00,212,2023-06-18 20:04:00,2,In-person
180,Huntsville,4368,2024-04-10 14:18:00,0,2024-04-10 14:18:00,5,Website
181,Birmingham,225,2024-08-22 14:07:00,45,2024-08-22 14:52:00,5,Call
182,Rural South,2726,2024-02-19 13:17:00,57,2024-02-19 14:14:00,5,Website
183,Rural North,771,2023-09-16 18:29:00,111,2023-09-16 20:20:00,4,In-person
184,Rural South,188,2024-10-22 20:46:00,22,2024-10-22 21:08:00,1,Website
185,Rural North,631,2024-05-16 22:45:00,31,2024-05-16 23:16:00,4,Website
186,Birmingham,4678,2023-12-01 14:17:00,761,2023-12-02 02:58:00,5,Website
187,Mobile,1330,2024-11-17 18:11:00,170,2024-11-17 21:01:00,1,Call
188,Birmingham,1077,2023-10-10 16:23:00,191,2023-10-10 19:34:00,3,Website
189,Mobile,803,2024-01-31 20:26:00,302,2024-02-01 01:28:00,2,In-person
190,Birmingham,3812,2024-11-18 07:35:00,378,2024-11-18 13:53:00,4,Website
191,Birmingham,4995,2024-02-13 03:45:00,96,2024-02-13 05:21:00,5,In-person
192,Mobile,304,2023-04-29 01:45:00,2,2023-04-29 01:47:00,4,Website
193,Birmingham,1853,2024-04-30 04:58:00,282,2024-04-30 09:40:00,4,Call
194,Birmingham,3243,2024-10-04 10:35:00,35,2024-10-04 11:10:00,3,Mobile App
195,Mobile,3374,2023-02-02 08:28:00,158,2023-02-02 11:06:00,3,Mobile App
196,Birmingham,2962,2024-03-24 23:08:00,59,2024-03-25 00:07:00,3,Website
197,Birmingham,4773,2024-04-30 01:57:00,212,2024-04-30 05:29:00,5,Mobile App
198,Rural South,4505,2024-11-03 06:56:00,85,2024-11-03 08:21:00,4,Website
199,Mobile,2560,2023-10-29 03:19:00,58,2023-10-29 04:17:00,1,Website
200,Rural North,2034,2024-08-20 05:24:00,6,2024-08-20 05:30:00,1,Call
201,Montgomery,3580,2023-05-16 19:26:00,511,2023-05-17 03:57:00,4,Mobile App
202,Rural North,2588,2023-03-19 06:31:00,143,2023-03-19 08:54:00,5,Mobile App
203,Birmingham,3719,2023-12-31 15:04:00,51,2023-12-31 15:55:00,1,In-person
204,Montgomery,3203,2024-03-28 17:21:00,103,2024-03-28 19:04:00,1,In-person
205,Rural North,3581,2024-04-06 18:01:00,44,2024-04-06 18:45:00,2,Website
206,Montgomery,4181,2024-12-28 15:08:00,89,2024-12-28 16:37:00,4,In-person
207,Mobile,222,2023-05-06 20:27:00,24,2023-05-06 20:51:00,4,In-person
208,Rural North,4987,2024-01-27 17:46:00,150,2024-01-27 20:16:00,1,In-person
209,Mobile,2856,2024-11-09 05:43:00,155,2024-11-09 08:18:00,4,Mobile App
210,Rural North,2846,2023-04-14 06:34:00,52,2023-04-14 07:26:00,5,Call
211,Huntsville,3718,2024-06-20 21:32:00,199,2024-06-21 00:51:00,2,Call
212,Huntsville,1147,2023-11-24 03:36:00,145,2023-11-24 06:01:00,5,In-person
213,Montgomery,838,2024-04-04 12:25:00,41,2024-04-04 13:06:00,3,In-person
214,Mobile,4971,2023-09-24 01:36:00,1,2023-09-24 01:37:00,2,In-person
215,Rural North,725,2023-08-24 11:51:00,304,2023-08-24 16:55:00,4,Mobile App
216,Birmingham,2807,2024-09-30 06:46:00,187,2024-09-30 09:53:00,1,Call
217,Rural South,4233,2023-01-01 16:55:00,5,2023-01-01 17:00:00,3,Mobile App
218,Montgomery,4087,2023-05-27 15:08:00,22,2023-05-27 15:30:00,1,Website
219,Montgomery,3778,2023-10-01 04:36:00,104,2023-10-01 06:20:00,4,Mobile App
220,Huntsville,3127,2023-09-30 10:56:00,51,2023-09-30 11:47:00,5,Call
221,Rural North,3421,2023-07-13 00:41:00,15,2023-07-13 00:56:00,5,Mobile App
222,Montgomery,2040,2024-03-07 14:26:00,159,2024-03-07 17:05:00,3,Call
223,Birmingham,4373,2024-04-03 15:41:00,722,2024-04-04 03:43:00,5,Website
224,Montgomery,3934,2023-09-26 21:52:00,231,2023-09-27 01:43:00,1,Mobile App
225,Montgomery,4385,2023-07-24 12:47:00,120,2023-07-24 14:47:00,1,In-person
226,Rural North,1236,2023-03-21 20:47:00,79,2023-03-21 22:06:00,5,In-person
227,Huntsville,3989,2024-08-24 04:56:00,85,2024-08-24 06:21:00,2,In-person
228,Montgomery,524,2023-08-29 05:46:00,69,2023-08-29 06:55:00,1,Website
229,Rural North,2465,2023-05-05 10:39:00,218,2023-05-05 14:17:00,5,Website
230,Birmingham,3539,2024-08-01 19:47:00,141,2024-08-01 22:08:00,1,Mobile App
231,Huntsville,1565,2024-07-15 15:48:00,261,2024-07-15 20:09:00,5,In-person
232,Montgomery,3557,2024-06-05 05:30:00,46,2024-06-05 06:16:00,1,Mobile App
233,Montgomery,701,2023-11-08 03:42:00,194,2023-11-08 06:56:00,5,Mobile App
234,Rural South,3906,2023-09-02 17:25:00,2,2023-09-02 17:27:00,5,In-person
235,Rural North,2483,2023-02-14 12:23:00,361,2023-02-14 18:24:00,2,Website
236,Birmingham,4065,2023-05-03 09:31:00,49,2023-05-03 10:20:00,5,Call
237,Birmingham,1599,2023-02-16 09:04:00,39,2023-02-16 09:43:00,5,Mobile App
238,Birmingham,4730,2023-07-14 12:06:00,76,2023-07-14 13:22:00,3,In-person
239,Rural South,4873,2024-12-10 11:49:00,5,2024-12-10 11:54:00,2,Website
240,Birmingham,4630,2023-12-31 06:27:00,161,2023-12-31 09:08:00,2,In-person
241,Huntsville,1033,2024-03-09 12:01:00,174,2024-03-09 14:55:00,3,Mobile App
242,Birmingham,3166,2024-08-28 02:19:00,10,2024-08-28 02:29:00,4,Website
243,Rural South,135,2024-06-10 01:03:00,221,2024-06-10 04:44:00,3,Call
244,Rural South,3738,2024-03-13 00:19:00,316,2024-03-13 05:35:00,1,Website
245,Rural South,4013,2023-11-08 02:06:00,170,2023-11-08 04:56:00,2,In-person
246,Huntsville,4779,2024-07-22 07:53:00,121,2024-07-22 09:54:00,1,Mobile App
247,Mobile,3618,2023-01-25 12:15:00,207,2023-01-25 15:42:00,1,Call
248,Rural North,1473,2023-05-19 17:43:00,353,2023-05-19 23:36:00,4,Mobile App
249,Rural South,1746,2024-08-24 17:11:00,387,2024-08-24 23:38:00,3,In-person
250,Mobile,3943,2024-02-10 15:25:00,46,2024-02-10 16:11:00,5,Mobile App
251,Montgomery,1954,2023-10-16 19:08:00,2,2023-10-16 19:10:00,1,Call
252,Rural North,4397,2023-11-02 08:46:00,59,2023-11-02 09:45:00,4,Mobile App
253,Huntsville,1161,2023-05-23 20:16:00,419,2023-05-24 03:15:00,5,In-person
254,Mobile,4472,2024-04-27 21:10:00,32,2024-04-27 21:42:00,2,Call
255,Mobile,2956,2023-12-11 17:21:00,212,2023-12-11 20:53:00,4,Call
256,Huntsville,1219,2024-03-09 11:14:00,103,2024-03-09 12:57:00,5,Website
257,Birmingham,1222,2024-01-29 11:40:00,153,2024-01-29 14:13:00,4,Call
258,Huntsville,3554,2024-05-21 03:04:00,127,2024-05-21 05:11:00,3,Mobile App
259,Rural North,3974,2023-03-21 00:24:00,134,2023-03-21 02:38:00,3,Website
260,Montgomery,1378,2023-08-31 04:28:00,34,2023-08-31 05:02:00,1,Website
261,Montgomery,4557,2023-09-22 16:56:00,144,2023-09-22 19:20:00,4,Mobile App
262,Montgomery,31,2024-04-14 06:57:00,143,2024-04-14 09:20:00,1,Call
263,Huntsville,1741,2023-09-27 05:10:00,40,2023-09-27 05:50:00,3,Website
264,Huntsville,4076,2023-06-29 17:16:00,203,2023-06-29 20:39:00,1,Call
265,Rural South,1092,2023-10-19 10:29:00,34,2023-10-19 11:03:00,2,Mobile App
266,Rural South,4615,2023-05-30 17:56:00,158,2023-05-30 20:34:00,5,Mobile App
267,Rural South,1376,2024-07-24 08:02:00,77,2024-07-24 09:19:00,1,Call
268,Rural North,1536,2024-11-26 04:30:00,0,2024-11-26 04:30:00,4,Call
269,Mobile,703,2023-08-22 09:31:00,220,2023-08-22 13:11:00,5,Website
270,Huntsville,4448,2024-05-12 18:36:00,2,2024-05-12 18:38:00,1,In-person
271,Birmingham,3890,2023-03-11 10:52:00,174,2023-03-11 13:46:00,1,Call
272,Montgomery,3008,2024-03-24 15:42:00,122,2024-03-24 17:44:00,3,Website
273,Rural North,846,2023-10-22 08:51:00,32,2023-10-22 09:23:00,4,In-person
274,Huntsville,4179,2023-08-08 15:46:00,332,2023-08-08 21:18:00,4,Mobile App
275,Huntsville,4101,2023-05-25 03:41:00,30,2023-05-25 04:11:00,1,Call
276,Rural North,1600,2024-11-29 02:24:00,63,2024-11-29 03:27:00,1,Call
277,Mobile,2586,2023-10-01 13:29:00,27,2023-10-01 13:56:00,1,Mobile App
278,Huntsville,23,2024-12-20 05:25:00,310,2024-12-20 10:35:00,2,Call
279,Mobile,2742,2023-08-29 13:20:00,313,2023-08-29 18:33:00,2,In-person
280,Birmingham,4524,2024-02-29 18:31:00,42,2024-02-29 19:13:00,4,In-person
281,Mobile,1779,2024-08-07 17:05:00,122,2024-08-07 19:07:00,3,In-person
282,Rural South,4959,2024-08-31 10:43:00,66,2024-08-31 11:49:00,1,In-person
283,Rural North,1963,2023-08-13 07:07:00,167,2023-08-13 09:54:00,1,In-person
284,Montgomery,4894,2024-05-02 04:11:00,145,2024-05-02 06:36:00,4,Website
285,Rural South,4862,2023-06-27 07:08:00,32,2023-06-27 07:40:00,2,Website
286,Rural South,3129,2024-06-03 07:18:00,253,2024-06-03 11:31:00,2,In-person
287,Mobile,3317,2024-11-16 10:27:00,45,2024-11-16 11:12:00,4,Call
288,Montgomery,1509,2024-08-11 20:58:00,52,2024-08-11 21:50:00,1,Mobile App
289,Rural South,3546,2023-03-17 14:48:00,3,2023-03-17 14:51:00,3,In-person
290,Huntsville,2739,2024-06-21 20:19:00,387,2024-06-22 02:46:00,2,In-person
291,Birmingham,166,2024-04-20 05:54:00,28,2024-04-20 06:22:00,2,Mobile App
292,Rural South,930,2024-06-22 14:23:00,140,2024-06-22 16:43:00,1,In-person
293,Birmingham,2961,2023-05-20 11:33:00,44,2023-05-20 12:17:00,1,In-person
294,Birmingham,1175,2024-10-24 20:53:00,176,2024-10-24 23:49:00,2,Mobile App
295,Montgomery,3373,2023-12-01 07:50:00,6,2023-12-01 07:56:00,5,Call
296,Rural North,4191,2024-12-08 21:06:00,4,2024-12-08 21:10:00,1,In-person
297,Mobile,1271,2023-09-13 13:46:00,253,2023-09-13 17:59:00,1,Mobile App
298,Mobile,2357,2024-03-08 14:31:00,131,2024-03-08 16:42:00,3,Website
299,Huntsville,1126,2023-02-15 22:02:00,95,2023-02-15 23:37:00,1,In-person
300,Huntsville,4295,2024-10-20 18:43:00,220,2024-10-20 22:23:00,2,Call
301,Birmingham,308,2024-02-17 04:23:00,163,2024-02-17 07:06:00,4,Call
302,Rural North,4704,2023-09-20 12:10:00,33,2023-09-20 12:43:00,2,Mobile App
303,Huntsville,315,2024-11-15 13:51:00,124,2024-11-15 15:55:00,5,Website
304,Huntsville,4536,2023-04-10 11:44:00,2,2023-04-10 11:46:00,3,Website
305,Montgomery,2469,2023-06-30 09:07:00,129,2023-06-30 11:16:00,1,In-person
306,Huntsville,1188,2024-09-20 00:25:00,196,2024-09-20 03:41:00,2,Call
307,Birmingham,4272,2023-10-23 21:34:00,67,2023-10-23 22:41:00,3,Mobile App
308,Rural South,1389,2024-12-08 01:08:00,59,2024-12-08 02:07:00,5,Mobile App
309,Montgomery,4580,2023-12-09 18:30:00,58,2023-12-09 19:28:00,4,Call
310,Birmingham,1759,2024-06-09 04:05:00,1,2024-06-09 04:06:00,5,Call
311,Rural North,1729,2023-04-15 17:09:00,31,2023-04-15 17:40:00,3,Website
312,Rural North,3166,2024-04-13 14:06:00,5,2024-04-13 14:11:00,2,Mobile App
