Outage_ID,Region,Start_Time,Duration_Hours,End_Time,Cause,Customers_Affected,Weather_Condition
27,Huntsville,2024-09-10 13:21:00,0.58,2024-09-10 13:55:47.999999999,Equipment Failure,3091,Storm
28,Birmingham,2023-04-06 00:42:00,6.01,2023-04-06 06:42:36.000000000,Weather,1757,Heatwave
29,Birmingham,2024-02-18 14:21:00,2.48,2024-02-18 16:49:48.000000000,Weather,758,Heavy Rain
30,Mobile,2023-08-23 21:41:00,9.01,2023-08-24 06:41:36.000000000,Weather,3847,Clear
31,Mobile,2023-03-03 19:13:00,0.23,2023-03-03 19:26:48.000000000,Equipment Failure,537,High Wind
32,Montgomery,2023-09-13 05:49:00,1.05,2023-09-13 06:52:00.000000000,Weather,1177,Ice
33,Huntsville,2024-07-14 18:49:00,0.65,2024-07-14 19:28:00.000000000,Weather,4659,Clear
34,Huntsville,2023-12-14 15:11:00,2.42,2023-12-14 17:36:12.000000000,Weather,4620,Heavy Rain
35,Rural South,2024-11-01 00:00:00,1.45,2024-11-01 01:27:00.000000000,Weather,3551,Heatwave
36,Rural South,2023-05-04 09:43:00,0.51,2023-05-04 10:13:36.000000000,Equipment Failure,4482,Heatwave
37,Rural South,2024-04-26 07:11:00,3.09,2024-04-26 10:16:24.000000000,Weather,3749,Heavy Rain
38,Mobile,2023-11-13 22:09:00,2.31,2023-11-14 00:27:36.000000000,Weather,493,Ice
39,Huntsville,2024-05-18 00:52:00,0.96,2024-05-18 01:49:36.000000000,Maintenance,461,Clear
40,Huntsville,2024-12-19 15:39:00,1.96,2024-12-19 17:36:36.000000000,Equipment Failure,4079,Heatwave
41,Birmingham,2023-02-17 08:39:00,4.11,2023-02-17 12:45:36.000000000,Equipment Failure,4407,Heatwave
42,Mobile,2024-02-13 22:33:00,0.69,2024-02-13 23:14:24.000000000,Weather,3143,High Wind
43,Rural North,2023-05-16 22:28:00,1.04,2023-05-16 23:30:24.000000000,Equipment Failure,1783,Storm
44,Mobile,2023-07-20 18:57:00,1.27,2023-07-20 20:13:12.000000000,Weather,1008,High Wind
45,Rural North,2023-09-07 02:26:00,4.12,2023-09-07 06:33:12.000000000,Weather,2075,Storm
46,Birmingham,2023-11-10 19:49:00,5.63,2023-11-11 01:26:48.000000000,Maintenance,407,Heatwave
47,Montgomery,2024-01-03 23:22:00,1.42,2024-01-04 00:47:12.000000000,Other,1813,Storm
48,Huntsville,2024-03-04 19:22:00,1.06,2024-03-04 20:25:36.000000000,Equipment Failure,2161,Clear
49,Birmingham,2024-04-24 10:28:00,6.61,2024-04-24 17:04:36.000000000,Weather,1956,Heatwave
50,Huntsville,2023-11-10 04:58:00,22.09,2023-11-11 03:03:24.000000000,Wildlife,3727,Heatwave
51,Rural South,2024-05-14 21:39:00,3.33,2024-05-15 00:58:48.000000000,Weather,3425,Storm
52,Montgomery,2024-12-21 13:08:00,13.81,2024-12-22 02:56:36.000000000,Wildlife,1404,Heavy Rain
53,Montgomery,2023-12-21 14:09:00,3.24,2023-12-21 17:23:24.000000000,Weather,4138,Storm
54,Birmingham,2024-04-29 02:57:00,3.97,2024-04-29 06:55:12.000000000,Weather,2431,Storm
55,Montgomery,2023-07-30 14:01:00,1.48,2023-07-30 15:29:48.000000000,Equipment Failure,3929,Ice
56,Rural North,2024-12-04 22:57:00,1.7,2024-12-05 00:39:00.000000000,Other,3093,Ice
57,Montgomery,2023-02-13 19:37:00,0.47,2023-02-13 20:05:12.000000000,Wildlife,2798,Clear
58,Huntsville,2024-06-24 20:24:00,5.19,2024-06-25 01:35:24.000000000,Equipment Failure,1854,Clear
59,Huntsville,2024-07-24 14:37:00,8.02,2024-07-24 22:38:12.000000000,Maintenance,1814,Heavy Rain
60,Huntsville,2024-08-05 18:58:00,2.93,2024-08-05 21:53:48.000000000,Equipment Failure,899,Ice
61,Huntsville,2023-04-02 12:38:00,1.26,2023-04-02 13:53:36.000000000,Maintenance,2513,High Wind
62,Rural North,2023-09-22 18:11:00,0.5,2023-09-22 18:41:00.000000000,Wildlife,1903,Clear
63,Mobile,2023-08-08 07:24:00,0.92,2023-08-08 08:19:12.000000000,Weather,1676,Clear
64,Rural South,2024-03-17 22:29:00,0.88,2024-03-17 23:21:48.000000000,Weather,4354,Ice
65,Birmingham,2024-02-05 11:47:00,2.85,2024-02-05 14:38:00.000000000,Other,3075,Ice
66,Huntsville,2024-02-04 10:01:00,8.7,2024-02-04 18:43:00.000000000,Other,3651,Heavy Rain
67,Montgomery,2024-12-27 23:02:00,0.15,2024-12-27 23:11:00.000000000,Weather,3085,Ice
68,Huntsville,2024-07-29 02:24:00,0.0,2024-07-29 02:24:00.000000000,Weather,1269,Storm
69,Montgomery,2024-05-04 04:34:00,2.75,2024-05-04 07:19:00.000000000,Other,2230,Heatwave
70,Rural South,2024-04-29 08:28:00,1.0,2024-04-29 09:28:00.000000000,Equipment Failure,2428,High Wind
71,Rural South,2024-04-14 20:02:00,6.37,2024-04-15 02:24:12.000000000,Equipment Failure,2848,Heatwave
72,Rural South,2024-07-27 12:32:00,1.19,2024-07-27 13:43:24.000000000,Weather,2806,Storm
73,Montgomery,2024-11-12 07:56:00,1.03,2024-11-12 08:57:48.000000000,Wildlife,796,Storm
74,Huntsville,2024-03-20 23:57:00,0.94,2024-03-21 00:53:24.000000000,Weather,3377,Heatwave
75,Rural South,2023-09-26 19:36:00,0.47,2023-09-26 20:04:12.000000000,Weather,4945,Storm
76,Rural North,2023-09-24 18:47:00,2.61,2023-09-24 21:23:36.000000000,Weather,2457,Clear
77,Montgomery,2023-02-23 18:18:00,0.55,2023-02-23 18:51:00.000000000,Other,3139,Heatwave
78,Montgomery,2024-06-11 19:11:00,1.66,2024-06-11 20:50:36.000000000,Maintenance,1908,Storm
79,Huntsville,2024-06-03 11:05:00,1.85,2024-06-03 12:56:00.000000000,Maintenance,4513,Clear
80,Montgomery,2024-09-07 09:27:00,0.06,2024-09-07 09:30:36.000000000,Weather,3594,Ice
81,Montgomery,2023-02-28 22:48:00,0.05,2023-02-28 22:51:00.000000000,Other,4169,High Wind
82,Rural South,2023-02-09 08:50:00,2.2,2023-02-09 11:02:00.000000000,Maintenance,3959,High Wind
83,Huntsville,2023-08-25 02:38:00,3.57,2023-08-25 06:12:11.999999999,Maintenance,2477,Storm
84,Rural South,2024-01-21 11:20:00,8.55,2024-01-21 19:53:00.000000000,Other,2203,High Wind
85,Rural South,2024-08-28 00:22:00,0.59,2024-08-28 00:57:24.000000000,Weather,26,Clear
86,Huntsville,2024-12-16 17:50:00,0.33,2024-12-16 18:09:48.000000000,Equipment Failure,3032,Ice
87,Birmingham,2024-10-11 08:44:00,0.16,2024-10-11 08:53:36.000000000,Other,1276,Storm
88,Rural South,2023-10-27 12:08:00,1.72,2023-10-27 13:51:12.000000000,Maintenance,488,Heavy Rain
89,Rural North,2024-01-30 02:23:00,2.93,2024-01-30 05:18:48.000000000,Equipment Failure,4306,Heatwave
90,Rural North,2023-07-26 11:07:00,5.51,2023-07-26 16:37:36.000000000,Weather,3987,High Wind
91,Montgomery,2023-12-02 11:20:00,3.44,2023-12-02 14:46:24.000000000,Maintenance,3554,High Wind
92,Rural North,2024-08-15 16:12:00,0.7,2024-08-15 16:54:00.000000000,Equipment Failure,4284,Storm
93,Montgomery,2024-12-30 13:18:00,1.86,2024-12-30 15:09:36.000000000,Weather,4558,Heatwave
94,Birmingham,2024-05-28 01:24:00,7.24,2024-05-28 08:38:24.000000000,Wildlife,495,Heatwave
95,Huntsville,2023-06-27 06:55:00,1.19,2023-06-27 08:06:24.000000000,Weather,4098,High Wind
96,Huntsville,2024-01-31 11:33:00,2.07,2024-01-31 13:37:12.000000000,Weather,4683,High Wind
97,Huntsville,2024-01-06 08:01:00,9.55,2024-01-06 17:34:00.000000000,Maintenance,347,Heavy Rain
98,Rural North,2024-10-19 07:35:00,3.98,2024-10-19 11:33:48.000000000,Equipment Failure,870,Heatwave
99,Birmingham,2023-11-14 13:46:00,4.13,2023-11-14 17:53:48.000000000,Weather,2013,Clear
100,Rural North,2024-01-04 04:56:00,0.87,2024-01-04 05:48:12.000000000,Weather,1481,Storm
101,Rural North,2024-01-19 18:55:00,1.61,2024-01-19 20:31:36.000000000,Weather,2052,Storm
102,Birmingham,2023-03-03 20:53:00,0.26,2023-03-03 21:08:36.000000000,Weather,3438,Heavy Rain
103,Birmingham,2024-05-19 18:39:00,2.8,2024-05-19 21:27:00.000000000,Weather,3130,Heavy Rain
104,Birmingham,2023-08-27 15:49:00,0.33,2023-08-27 16:08:48.000000000,Weather,1529,Clear
105,Birmingham,2023-07-14 11:19:00,5.42,2023-07-14 16:44:12.000000000,Weather,711,Ice
106,Huntsville,2024-11-08 06:17:00,5.05,2024-11-08 11:20:00.000000000,Equipment Failure,4398,Storm
107,Mobile,2023-08-10 19:39:00,2.29,2023-08-10 21:56:23.999999999,Other,4045,Heatwave
108,Mobile,2023-03-02 07:00:00,0.46,2023-03-02 07:27:36.000000000,Equipment Failure,3754,High Wind
109,Birmingham,2023-05-09 01:44:00,0.08,2023-05-09 01:48:48.000000000,Maintenance,1183,Clear
110,Mobile,2024-11-15 05:29:00,4.78,2024-11-15 10:15:48.000000000,Weather,1615,Storm
111,Mobile,2023-06-05 07:18:00,2.75,2023-06-05 10:03:00.000000000,Maintenance,1889,Heatwave
112,Birmingham,2024-01-13 19:15:00,3.72,2024-01-13 22:58:12.000000000,Equipment Failure,3403,Clear
113,Mobile,2024-09-13 06:21:00,1.09,2024-09-13 07:26:24.000000000,Equipment Failure,2134,Ice
114,Rural North,2024-08-08 02:17:00,2.14,2024-08-08 04:25:24.000000000,Weather,4652,Heatwave
115,Montgomery,2024-03-12 15:42:00,4.13,2024-03-12 19:49:48.000000000,Weather,1456,Storm
116,Montgomery,2023-07-26 14:02:00,1.86,2023-07-26 15:53:36.000000000,Equipment Failure,3316,High Wind
117,Birmingham,2024-01-23 04:29:00,2.76,2024-01-23 07:14:36.000000000,Equipment Failure,3411,Heatwave
118,Huntsville,2024-04-24 06:35:00,4.68,2024-04-24 11:15:48.000000000,Wildlife,3793,Storm
119,Birmingham,2023-12-06 15:12:00,0.73,2023-12-06 15:55:48.000000000,Weather,2382,Clear
120,Huntsville,2023-12-06 07:43:00,0.2,2023-12-06 07:55:00.000000000,Weather,160,Ice
121,Montgomery,2023-07-23 07:29:00,2.28,2023-07-23 09:45:48.000000000,Equipment Failure,1669,Heatwave
122,Birmingham,2023-06-10 22:34:00,0.19,2023-06-10 22:45:24.000000000,Wildlife,888,Clear
123,Rural South,2024-06-23 21:16:00,4.36,2024-06-24 01:37:36.000000000,Weather,2329,Clear
124,Rural North,2024-01-27 21:48:00,3.81,2024-01-28 01:36:36.000000000,Equipment Failure,2893,Heavy Rain
125,Mobile,2024-11-07 21:37:00,6.4,2024-11-08 04:01:00.000000000,Weather,4005,Clear
126,Huntsville,2024-07-28 00:19:00,3.06,2024-07-28 03:22:36.000000000,Equipment Failure,2425,Heatwave
127,Rural South,2024-06-17 03:58:00,0.21,2024-06-17 04:10:36.000000000,Maintenance,1525,Ice
128,Mobile,2023-03-11 21:33:00,0.88,2023-03-11 22:25:48.000000000,Wildlife,3397,High Wind
129,Mobile,2024-02-09 06:57:00,4.95,2024-02-09 11:54:00.000000000,Weather,599,Heavy Rain
130,Birmingham,2024-08-30 22:13:00,0.55,2024-08-30 22:46:00.000000000,Weather,597,Clear
131,Mobile,2024-11-05 17:34:00,3.6,2024-11-05 21:10:00.000000000,Equipment Failure,2629,Heatwave
132,Rural North,2024-08-13 18:47:00,4.55,2024-08-13 23:20:00.000000000,Weather,1205,Storm
133,Rural South,2024-05-31 03:05:00,1.2,2024-05-31 04:17:00.000000000,Maintenance,4363,Heavy Rain
134,Mobile,2023-04-30 19:11:00,1.17,2023-04-30 20:21:12.000000000,Equipment Failure,2336,Ice
135,Birmingham,2024-11-20 20:33:00,2.45,2024-11-20 23:00:00.000000000,Weather,2615,Storm
136,Rural North,2024-11-18 23:57:00,5.93,2024-11-19 05:52:48.000000000,Wildlife,2548,Ice
137,Montgomery,2023-08-05 21:44:00,0.76,2023-08-05 22:29:36.000000000,Weather,575,Storm
138,Rural South,2023-02-25 04:12:00,8.5,2023-02-25 12:42:00.000000000,Other,1766,High Wind
139,Mobile,2024-01-01 00:18:00,2.74,2024-01-01 03:02:24.000000000,Wildlife,4085,Ice
140,Birmingham,2024-11-29 11:51:00,14.53,2024-11-30 02:22:48.000000000,Maintenance,1370,Storm
141,Montgomery,2024-05-18 19:19:00,0.28,2024-05-18 19:35:48.000000000,Weather,2578,Ice
142,Montgomery,2024-03-30 03:42:00,0.41,2024-03-30 04:06:36.000000000,Other,2383,Heavy Rain
143,Huntsville,2023-04-14 00:02:00,5.26,2023-04-14 05:17:36.000000000,Maintenance,1205,Ice
144,Rural North,2023-03-18 20:59:00,6.0,2023-03-19 02:59:00.000000000,Weather,2141,Heatwave
145,Mobile,2023-08-18 14:13:00,1.77,2023-08-18 15:59:12.000000000,Weather,2898,Ice
146,Birmingham,2023-09-15 03:47:00,3.76,2023-09-15 07:32:36.000000000,Weather,1577,Storm
147,Huntsville,2023-09-21 15:12:00,6.06,2023-09-21 21:15:36.000000000,Other,3420,Ice
148,Rural North,2023-11-27 08:18:00,0.13,2023-11-27 08:25:48.000000000,Wildlife,2377,High Wind
149,Huntsville,2023-07-01 08:40:00,2.56,2023-07-01 11:13:36.000000000,Other,3353,Clear
150,Rural South,2024-07-03 11:41:00,5.76,2024-07-03 17:26:36.000000000,Maintenance,3107,Heavy Rain
151,Rural North,2024-11-18 15:16:00,1.52,2024-11-18 16:47:12.000000000,Equipment Failure,1270,Heatwave
152,Rural North,2023-01-27 19:22:00,1.08,2023-01-27 20:26:48.000000000,Weather,1343,Storm
153,Mobile,2023-10-03 21:39:00,4.76,2023-10-04 02:24:36.000000000,Weather,4338,Ice
154,Rural North,2024-10-13 04:50:00,1.23,2024-10-13 06:03:48.000000000,Weather,4654,Ice
155,Huntsville,2023-10-26 17:56:00,0.01,2023-10-26 17:56:36.000000000,Equipment Failure,3346,Ice
156,Rural North,2023-04-01 18:53:00,9.62,2023-04-02 04:30:12.000000000,Other,3094,Heavy Rain
157,Mobile,2024-04-24 11:54:00,2.69,2024-04-24 14:35:24.000000000,Other,3397,Heatwave
158,Mobile,2024-07-26 15:47:00,5.14,2024-07-26 20:55:24.000000000,Weather,4723,Clear
159,Rural South,2024-04-02 10:47:00,5.23,2024-04-02 16:00:48.000000000,Maintenance,2441,High Wind
160,Huntsville,2024-03-26 17:07:00,0.21,2024-03-26 17:19:36.000000000,Equipment Failure,1026,Heatwave
161,Montgomery,2023-12-31 11:23:00,0.56,2023-12-31 11:56:36.000000000,Equipment Failure,651,High Wind
162,Montgomery,2024-11-05 14:29:00,1.12,2024-11-05 15:36:12.000000000,Maintenance,4072,Heatwave
163,Rural North,2023-12-17 17:50:00,1.16,2023-12-17 18:59:36.000000000,Weather,325,Storm
164,Rural South,2024-10-16 01:33:00,3.23,2024-10-16 04:46:48.000000000,Other,2313,Clear
165,Birmingham,2024-02-04 15:39:00,2.93,2024-02-04 18:34:48.000000000,Maintenance,450,Clear
166,Rural North,2023-09-10 09:19:00,2.05,2023-09-10 11:22:00.000000000,Maintenance,1148,Heavy Rain
167,Rural South,2024-04-03 03:32:00,0.71,2024-04-03 04:14:36.000000000,Weather,924,Heatwave
168,Huntsville,2024-11-29 07:15:00,1.44,2024-11-29 08:41:24.000000000,Weather,2313,Ice
169,Huntsville,2024-05-13 14:11:00,2.35,2024-05-13 16:32:00.000000000,Weather,4152,Clear
170,Huntsville,2024-05-22 08:27:00,1.89,2024-05-22 10:20:24.000000000,Maintenance,3431,Heatwave
171,Huntsville,2023-10-31 13:55:00,0.41,2023-10-31 14:19:36.000000000,Other,2088,Ice
172,Huntsville,2024-05-15 10:50:00,3.15,2024-05-15 13:59:00.000000000,Equipment Failure,4160,Heavy Rain
173,Rural South,2024-08-20 03:24:00,0.23,2024-08-20 03:37:48.000000000,Maintenance,2210,Heatwave
174,Rural South,2023-06-15 06:20:00,1.43,2023-06-15 07:45:48.000000000,Equipment Failure,4561,Heatwave
175,Mobile,2024-02-19 18:16:00,3.71,2024-02-19 21:58:36.000000000,Weather,45,Storm
176,Montgomery,2024-04-06 18:19:00,0.06,2024-04-06 18:22:36.000000000,Maintenance,827,Heatwave
177,Huntsville,2023-04-24 01:16:00,2.53,2023-04-24 03:47:48.000000000,Maintenance,1956,Storm
178,Birmingham,2024-03-08 13:35:00,1.22,2024-03-08 14:48:12.000000000,Weather,3966,Ice
179,Rural South,2023-12-22 12:47:00,0.03,2023-12-22 12:48:48.000000000,Weather,4361,Ice
180,Birmingham,2024-11-25 06:49:00,0.63,2024-11-25 07:26:48.000000000,Equipment Failure,2235,Clear
181,Birmingham,2023-07-26 01:45:00,8.49,2023-07-26 10:14:24.000000000,Weather,3335,Heavy Rain
182,Birmingham,2023-08-23 09:10:00,2.21,2023-08-23 11:22:36.000000000,Other,517,Storm
183,Mobile,2024-03-17 13:45:00,17.66,2024-03-18 07:24:36.000000000,Equipment Failure,3755,Clear
184,Rural South,2023-12-21 21:38:00,2.23,2023-12-21 23:51:48.000000000,Weather,4126,High Wind
185,Birmingham,2024-05-29 01:27:00,2.36,2024-05-29 03:48:36.000000000,Weather,3887,Clear
186,Huntsville,2023-07-27 14:40:00,1.49,2023-07-27 16:09:24.000000000,Other,4824,Ice
187,Rural North,2024-12-09 18:20:00,1.11,2024-12-09 19:26:36.000000000,Maintenance,469,High Wind
188,Birmingham,2023-05-05 18:20:00,0.87,2023-05-05 19:12:12.000000000,Maintenance,1415,Clear
189,Mobile,2023-05-18 08:59:00,1.26,2023-05-18 10:14:36.000000000,Weather,4105,Heatwave
190,Rural South,2023-12-05 04:04:00,1.85,2023-12-05 05:55:00.000000000,Wildlife,2046,Heavy Rain
191,Mobile,2024-06-20 09:37:00,0.64,2024-06-20 10:15:24.000000000,Equipment Failure,2687,Storm
192,Birmingham,2023-03-09 23:25:00,0.76,2023-03-10 00:10:36.000000000,Maintenance,1754,Heatwave
193,Rural South,2024-07-26 16:21:00,0.95,2024-07-26 17:18:00.000000000,Other,2993,High Wind
194,Rural North,2024-06-24 11:56:00,1.79,2024-06-24 13:43:24.000000000,Weather,2368,Heavy Rain
195,Birmingham,2024-01-18 02:21:00,3.17,2024-01-18 05:31:12.000000000,Equipment Failure,1241,Clear
196,Mobile,2023-01-19 14:52:00,5.82,2023-01-19 20:41:12.000000000,Weather,1187,Heatwave
197,Montgomery,2024-11-13 23:11:00,1.02,2024-11-14 00:12:12.000000000,Equipment Failure,771,Ice
198,Huntsville,2024-03-25 18:27:00,0.61,2024-03-25 19:03:36.000000000,Weather,4788,Ice
199,Mobile,2023-03-15 19:26:00,1.43,2023-03-15 20:51:48.000000000,Other,2364,Heavy Rain
200,Rural South,2024-07-26 05:51:00,6.74,2024-07-26 12:35:24.000000000,Weather,4724,Ice
201,Birmingham,2024-10-26 09:04:00,0.03,2024-10-26 09:05:48.000000000,Equipment Failure,3736,Storm
202,Huntsville,2023-10-03 15:12:00,3.4,2023-10-03 18:36:00.000000000,Wildlife,1553,Heavy Rain
203,Birmingham,2023-02-17 02:31:00,1.95,2023-02-17 04:28:00.000000000,Other,3687,Heavy Rain
204,Rural South,2023-07-30 19:41:00,0.53,2023-07-30 20:12:48.000000000,Equipment Failure,1943,Ice
205,Birmingham,2024-10-12 10:52:00,1.16,2024-10-12 12:01:36.000000000,Equipment Failure,3178,Heavy Rain
206,Montgomery,2024-09-13 15:57:00,0.76,2024-09-13 16:42:36.000000000,Weather,3571,Clear
207,Huntsville,2024-11-25 12:42:00,6.31,2024-11-25 19:00:36.000000000,Weather,4112,High Wind
208,Huntsville,2024-06-23 22:06:00,1.97,2024-06-24 00:04:12.000000000,Equipment Failure,3867,Heatwave
209,Rural South,2024-12-09 10:23:00,2.48,2024-12-09 12:51:48.000000000,Weather,4027,High Wind
210,Montgomery,2023-07-10 10:55:00,2.7,2023-07-10 13:37:00.000000000,Weather,4454,Heatwave
211,Mobile,2023-11-11 07:29:00,3.06,2023-11-11 10:32:36.000000000,Weather,2974,Ice
212,Birmingham,2024-07-16 12:00:00,2.05,2024-07-16 14:03:00.000000000,Equipment Failure,1040,Storm
213,Rural North,2024-10-22 20:47:00,0.05,2024-10-22 20:50:00.000000000,Equipment Failure,2557,Storm
214,Birmingham,2024-07-15 00:42:00,1.22,2024-07-15 01:55:12.000000000,Weather,2532,Ice
215,Birmingham,2023-04-23 04:23:00,0.61,2023-04-23 04:59:36.000000000,Weather,4629,Ice
216,Mobile,2023-06-19 17:06:00,3.42,2023-06-19 20:31:12.000000000,Equipment Failure,1885,Heavy Rain
217,Birmingham,2024-04-12 21:31:00,0.18,2024-04-12 21:41:48.000000000,Maintenance,599,Storm
218,Montgomery,2024-11-08 09:55:00,2.49,2024-11-08 12:24:24.000000000,Equipment Failure,2290,High Wind
219,Montgomery,2023-01-14 17:19:00,0.71,2023-01-14 18:01:36.000000000,Wildlife,3111,Ice
220,Huntsville,2024-12-15 22:37:00,8.92,2024-12-16 07:32:12.000000000,Weather,2424,High Wind
221,Rural South,2023-10-15 18:02:00,1.23,2023-10-15 19:15:48.000000000,Weather,3907,Heatwave
222,Rural North,2023-07-08 16:52:00,1.18,2023-07-08 18:02:48.000000000,Weather,3688,High Wind
223,Birmingham,2023-06-04 02:56:00,7.71,2023-06-04 10:38:36.000000000,Equipment Failure,1853,Storm
224,Birmingham,2024-07-20 01:02:00,1.62,2024-07-20 02:39:12.000000000,Maintenance,4161,Heatwave
225,Mobile,2024-11-24 15:57:00,9.88,2024-11-25 01:49:48.000000000,Weather,1948,High Wind
226,Rural South,2024-12-22 16:42:00,0.07,2024-12-22 16:46:12.000000000,Equipment Failure,2204,Heavy Rain
227,Montgomery,2024-04-15 09:20:00,1.1,2024-04-15 10:26:00.000000000,Equipment Failure,4469,Heavy Rain
228,Rural North,2023-03-16 22:10:00,3.29,2023-03-17 01:27:23.999999999,Other,262,Storm
229,Huntsville,2023-10-04 21:09:00,6.65,2023-10-05 03:48:00.000000000,Maintenance,1476,Heavy Rain
230,Montgomery,2024-10-06 21:52:00,0.89,2024-10-06 22:45:24.000000000,Maintenance,745,Ice
231,Rural South,2023-12-09 15:54:00,8.0,2023-12-09 23:54:00.000000000,Equipment Failure,349,Heatwave
232,Huntsville,2024-02-29 22:35:00,2.71,2024-03-01 01:17:36.000000000,Other,3597,Storm
233,Mobile,2024-07-24 14:09:00,4.84,2024-07-24 18:59:24.000000000,Other,1386,Heatwave
234,Mobile,2024-05-25 21:18:00,1.52,2024-05-25 22:49:12.000000000,Equipment Failure,4729,High Wind
235,Birmingham,2023-07-01 10:03:00,0.72,2023-07-01 10:46:12.000000000,Equipment Failure,714,Ice
236,Rural South,2024-04-02 10:05:00,7.27,2024-04-02 17:21:12.000000000,Equipment Failure,3734,Storm
237,Rural North,2023-03-05 13:49:00,8.12,2023-03-05 21:56:12.000000000,Equipment Failure,4428,High Wind
238,Huntsville,2023-09-17 20:22:00,2.06,2023-09-17 22:25:36.000000000,Equipment Failure,2918,High Wind
239,Montgomery,2023-07-12 21:34:00,0.02,2023-07-12 21:35:12.000000000,Weather,1984,High Wind
240,Rural South,2024-10-16 12:25:00,0.35,2024-10-16 12:46:00.000000000,Other,1478,High Wind
241,Rural South,2024-09-07 09:17:00,2.55,2024-09-07 11:50:00.000000000,Equipment Failure,2152,High Wind
242,Mobile,2024-02-10 01:03:00,0.07,2024-02-10 01:07:12.000000000,Wildlife,562,Storm
243,Birmingham,2024-12-26 20:53:00,1.52,2024-12-26 22:24:12.000000000,Equipment Failure,3501,Heavy Rain
244,Birmingham,2024-12-21 15:41:00,1.08,2024-12-21 16:45:48.000000000,Maintenance,799,High Wind
245,Huntsville,2023-04-03 04:08:00,3.76,2023-04-03 07:53:36.000000000,Weather,1183,Ice
246,Mobile,2024-03-05 21:09:00,0.17,2024-03-05 21:19:12.000000000,Equipment Failure,562,Storm
247,Rural South,2024-10-15 15:39:00,2.01,2024-10-15 17:39:36.000000000,Equipment Failure,3432,Clear
248,Rural North,2024-03-09 02:36:00,2.6,2024-03-09 05:12:00.000000000,Weather,4221,Heavy Rain
249,Mobile,2024-02-08 12:14:00,2.88,2024-02-08 15:06:48.000000000,Wildlife,641,Ice
250,Huntsville,2024-03-09 16:24:00,1.56,2024-03-09 17:57:36.000000000,Weather,279,High Wind
251,Huntsville,2023-04-22 18:31:00,1.09,2023-04-22 19:36:24.000000000,Equipment Failure,870,Storm
252,Mobile,2024-01-10 22:16:00,3.44,2024-01-11 01:42:24.000000000,Weather,300,Storm
253,Huntsville,2023-02-28 18:09:00,5.64,2023-02-28 23:47:24.000000000,Wildlife,1467,High Wind
